,bmad_name,device_name,ele_key,s_position,x_position,y_position,z_position,theta_position,phi_position,psi_position
143,DBMARK82,,Marker,17.192835990867,0.589760423863593,0.0,2031.99183337829,-0.610865238198015,0.0,0.0
144,ENDDL1_1,,Marker,17.192835990867,0.589760423863593,0.0,2031.99183337829,-0.610865238198015,0.0,0.0
145,BEGDL1_2,,Marker,17.192835990867,0.589760423863593,0.0,2031.99183337829,-0.610865238198015,0.0,0.0
146,BX01,BEND:IN20:661,Sbend,17.3968279928707,0.499887362011092,0.0,2032.17407791937,-0.305432619099007,0.0,0.0
147,DB00A,,Drift,17.7965274444484,0.379695418863011,0.0,2032.55527806155,-0.305432619099007,0.0,0.0
148,OTR4,OTRS:IN20:711,Monitor,17.7965274444484,0.379695418863011,0.0,2032.55527806155,-0.305432619099007,0.0,0.0
149,DB00B,,Drift,17.9575274444484,0.331281785142823,0.0,2032.70882649062,-0.305432619099007,0.0,0.0
150,XC09,XCOR:IN20:721,Hkicker,17.9575274444484,0.331281785142823,0.0,2032.70882649062,-0.305432619099007,0.0,0.0
151,YC09,YCOR:IN20:722,Vkicker,17.9575274444484,0.331281785142823,0.0,2032.70882649062,-0.305432619099007,0.0,0.0
152,DB00C,,Drift,18.1232274444484,0.281454834164965,0.0,2032.86685738935,-0.305432619099007,0.0,0.0
153,QB,QUAD:IN20:731,Quadrupole,18.2300274444484,0.249339454777909,0.0,2032.96871435969,-0.305432619099007,0.0,0.0
154,BPM13,BPMS:IN20:731,Monitor,18.1766274444484,0.265397144471437,0.0,2032.91778587452,-0.305432619099007,0.0,0.0
155,DB00D,,Drift,18.5186274444484,0.162555761040976,0.0,2033.24395707168,-0.305432619099007,0.0,0.0
156,WS04,WIRE:IN20:741,Marker,18.5186274444484,0.162555761040976,0.0,2033.24395707168,-0.305432619099007,0.0,0.0
157,DB00E,,Drift,18.956426896026,0.0309069269317827,0.0,2033.66149382968,-0.305432619099007,0.0,0.0
158,BX02,BEND:IN20:751,Sbend,19.1604188980297,-4.54514200833381e-06,0.0,2033.86232888861,8.32667268468867e-17,0.0,0.0
159,CNT0,,Marker,19.1604188980297,-4.54514200833381e-06,0.0,2033.86232888861,1.11022302462516e-16,0.0,0.0
160,DBMARK83,,Marker,19.1604188980297,-4.54514200833381e-06,0.0,2033.86232888861,1.11022302462516e-16,0.0,0.0
161,DM00,,Drift,19.3817199441091,-4.54514200830924e-06,0.0,2034.08362993468,1.11022302462516e-16,0.0,0.0
162,XC10,XCOR:IN20:761,Hkicker,19.3817199441091,-4.54514200830924e-06,0.0,2034.08362993468,1.11022302462516e-16,0.0,0.0
163,YC10,YCOR:IN20:762,Vkicker,19.3817199441091,-4.54514200830924e-06,0.0,2034.08362993468,1.11022302462516e-16,0.0,0.0
164,DM00A,,Drift,19.5224029441091,-4.54514200829362e-06,0.0,2034.22431293469,1.11022302462516e-16,0.0,0.0
165,QM03,QUAD:IN20:771,Quadrupole,19.6304029441091,-4.54514200828163e-06,0.0,2034.33231293469,1.11022302462516e-16,0.0,0.0
166,BPM14,BPMS:IN20:771,Monitor,19.5764029441091,-4.54514200828762e-06,0.0,2034.27831293469,1.11022302462516e-16,0.0,0.0
167,DM01,,Drift,19.7187699441091,-4.54514200827182e-06,0.0,2034.42067993469,1.11022302462516e-16,0.0,0.0
168,DM01A,,Drift,19.9275699441091,-4.54514200824864e-06,0.0,2034.62947993469,1.11022302462516e-16,0.0,0.0
169,QM04,QUAD:IN20:781,Quadrupole,20.0355699441091,-4.54514200823665e-06,0.0,2034.73747993469,1.11022302462516e-16,0.0,0.0
170,BPM15,BPMS:IN20:781,Monitor,19.9815699441091,-4.54514200824264e-06,0.0,2034.68347993469,1.11022302462516e-16,0.0,0.0
